Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,World,Textiles and Clothing,Export,Export(US$ Mil),           4365.73,           6053.01,           5679.92,           6280.98,           6036.16,           5111.35,           4340.24,           5198.32,           4736.99,           4086.09,           4320.14,           5806.03,           4890.80,           3811.93,           3367.49,           3890.75,           3019.59,           3032.46,           3164.09,           2866.62,           2577.17,           1472.89,           1469.09,            693.05,             59.68,             39.72,,
,World,Transportation,Export,Export(US$ Mil),           9927.72,          17004.01,          16425.31,          14247.92,          15103.07,          12648.68,           9308.67,          12659.02,           8300.74,           7555.05,           6765.90,           5358.38,           4778.07,           3971.25,           2792.86,           2511.74,           2460.90,           1802.75,           1999.66,           1286.50,           1240.47,            909.30,            842.81,            822.89,              5.86,              8.40,,
,World,Vegetable,Export,Export(US$ Mil),          13604.84,          15572.34,          17633.43,          13832.65,          13727.76,          13242.13,          10465.87,          10891.23,           8524.68,           8037.10,           6424.42,           5703.13,           4864.38,           3620.36,           3933.37,           4327.78,           4270.97,           4622.92,           4573.89,           3212.36,           3759.32,           2009.29,            982.31,           1505.05,            178.50,            206.76,,
,World,Wood,Export,Export(US$ Mil),           3224.68,           4079.23,           4552.77,           3960.70,           5726.91,           5514.34,           5282.15,           5966.53,           5723.35,           4246.18,           4410.25,           3608.96,           2991.00,           2317.54,           2736.96,           2964.38,           2099.93,           1957.54,           2433.14,           2607.59,           2301.83,           1332.10,            910.23,            818.57,              5.74,              6.31,,
,World,All Products,Export,Exports (in US$ Mil),         166684.29,         342736.79,         361258.70,         410327.04,         411396.58,         309514.58,         223906.42,         246377.32,         232440.89,         177424.85,          99208.10,          86714.09,          90128.99,          71745.24,          73214.21,          82296.31,          57010.78,          45549.76,          54381.53,          54051.74,          43591.06,          32021.69,          29846.83,          22745.19,            778.36,            703.98,,
,World,Capital goods,Import,Import(US$ Mil),          59306.94,          85856.74,         100623.84,          89942.94,          92430.14,          83310.32,          71770.17,          74867.09,          70177.74,          50963.27,          36267.48,          29885.11,          28087.80,          21127.62,          19602.12,          18241.97,          16733.47,          18974.90,          18772.57,          16338.29,          15817.89,          10765.31,           8134.82,           7541.63,            330.36,            341.75,,
,World,Consumer goods,Import,Import(US$ Mil),          80709.31,         115525.72,         126074.27,         108763.72,         116151.92,          95897.89,          77217.89,          73012.42,          68834.69,          52542.79,          39817.73,          32117.48,          30368.42,          23566.01,          22366.19,          20256.41,          16216.17,          16938.09,          16066.82,          14295.11,          11920.21,           6239.96,           5191.47,           4286.23,            312.51,            394.54,,
,World,Intermediate goods,Import,Import(US$ Mil),          43673.54,          64877.00,          68419.59,          61973.56,          66107.71,          55402.22,          47372.51,          51894.67,          48376.68,          35097.76,          25111.42,          20867.70,          20621.29,          17834.79,          16748.01,          14958.79,          13311.99,          14589.81,          14638.39,          12506.54,          11344.17,           6460.76,           5241.51,           4850.87,            327.55,            328.44,,
,World,Raw materials,Import,Import(US$ Mil),          26255.72,          42454.92,          43213.45,          42846.14,          44243.97,          32272.48,          27332.22,          36010.94,          30053.98,          24110.78,          17913.58,          14759.80,          12067.85,           9501.84,           9637.10,           9583.26,           6901.71,           6895.19,           8534.16,           6628.15,           5541.96,           1645.04,           1526.34,           1477.94,             64.94,             66.54,,
,World,All Products,Import,Imports (in US$ Mil),         221390.81,         321933.12,         347672.27,         313314.61,         327756.24,         276151.29,         230747.68,         248672.08,         227618.45,         170351.49,         126820.23,         107688.07,          95994.69,          75835.81,          71845.14,          66317.81,          55710.87,          61583.86,          64651.83,          53507.60,          46497.97,          27117.41,          21900.92,          20557.78,           1053.72,           1148.94,,
,...,...,Development,"GNI per capita, Atlas method (current US$)",   1631.12,   1727.88,   1673.35,   1620.34,   1407.32,   1285.03,   1184.37,   1149.01,   1030.40,    923.98,    803.27,    663.74,    530.83,    486.16,    492.70,    504.45,    517.71,    535.61,    572.94,    559.44,    539.39,    522.04,    542.69,    564.58,    586.97,    597.47,    624.89,    619.59
,...,...,Trade Indicator,HH Market concentration index,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Trade Indicator,Index of export market penetration,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Development,Trade (% of GDP),     54.95,     59.94,     60.80,     64.11,     66.65,     62.27,     64.45,     74.31,     69.83,     67.86,     65.25,     62.85,     68.21,     67.23,     71.57,     68.46,     64.93,     65.03,     66.50,     64.50,     56.61,     58.69,     54.31,     56.84,     50.70,     50.92,     54.48,     52.28
,...,...,Development,Trade Balance (% of GDP),     -5.18,     -3.19,     -3.08,      0.56,      1.29,      1.21,     -2.88,      2.29,      0.40,      5.39,      2.72,      1.38,     -0.80,      1.29,      0.29,      7.46,     -0.69,     -7.04,     -1.51,     -1.03,     -0.87,     -0.24,      0.16,      0.36,      1.82,      2.44,      5.28,      1.43
,...,...,Development,Trade in services (% of GDP),     10.14,     10.48,     10.68,     11.21,     11.72,     11.24,     13.29,     14.40,     13.77,     13.02,     12.20,     12.48,     12.86,     13.55,     13.66,     12.29,     12.98,     13.37,     12.29,     12.51,     12.12,     11.91,     11.79,     10.61,     10.17,     10.50,      8.76,      8.33
,China,All Products,Export,Partner share(%)-Top 5 Export Partner,     13.99,     13.43,     15.34,     14.74,     13.23,     14.24,     14.68,      7.66,      9.89,      4.64,      5.78,,,,,,,,,,,,,,,,,
,China,All Products,Import,Partner share(%)-Top 5 Import Partner,     16.54,     14.85,     13.74,     12.91,     12.35,     12.75,     11.94,     10.31,     10.14,      9.38,      7.63,      6.40,,,,,,,,,,,,,,,,
,France,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,      4.89,,      4.89,      4.80,,      5.54,      5.54,      6.02,      5.97,      5.58,      6.50,      6.39,      5.41,      6.47,      5.43,,,,     12.05,     13.99,,
,France,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,      4.78,      5.16,      4.84,      5.54,      5.78,      6.63,      7.85,      7.25,      6.89,      6.93,      7.37,      9.09,      9.25,      7.97,      8.75,      7.96,      6.89,,,     14.55,     16.59,,
,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,      4.71,,      5.06,      6.03,,,,,,      4.97,     13.09,     12.90,,
,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,      5.33,      4.70,      4.64,      4.59,      5.15,      4.87,      4.79,      6.05,      6.19,      7.27,      7.80,      7.93,      8.02,      8.11,      8.44,      7.86,      9.23,      8.84,      9.04,     10.74,     11.68,     14.41,     13.78,     15.28,      6.08,      6.33,,
,India,All Products,Export,Partner share(%)-Top 5 Export Partner,      6.19,      8.16,      6.82,      7.02,      6.07,      5.97,      5.33,      4.99,,,,,,      4.38,,      5.81,      6.48,,,,,,,,,,,
,India,All Products,Import,Partner share(%)-Top 5 Import Partner,      5.56,      5.79,      6.24,      5.19,      4.43,,,,,,,,,,,,,,,,,,,,,,,
,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,      6.06,      5.70,      5.26,,      4.14,,,,,,      5.33,      3.93,      4.56,      5.07,     10.62,     10.57,,
,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,      6.35,,,      6.34,      8.61,      9.38,     11.33,     10.20,      7.24,      6.90,,
,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,      4.22,      5.82,      5.35,,,      3.81,,      4.89,,,      5.51,      5.44,      4.54,      4.33,,,,      4.94,      5.72,      5.19,,,,,,,,
