Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,      5.69,      5.99,      6.07,      5.80,      5.78,      5.71,      5.75,      5.50,      5.61,      5.63,      5.73,      5.74,      5.69,,      5.66,      5.99,,,,,,,,,      7.43,      7.41,      7.29,      8.56
,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,,,      5.27,      5.49,      5.25,,,,,,,,,,,,,,,,,,,,,,,
,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,      6.22,      6.01,      5.81,      6.10,      5.75,      5.99,      6.19,      6.43,      6.77,      6.81,      7.10,      7.49,      7.64,      8.02,      8.00,      7.86,      7.81,      7.48,      7.53,      7.26,      7.45,      7.61,      7.77,      8.66,      7.79,      8.65,      9.31,      9.48
,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,      5.93,      6.23,      6.44,      6.51,      6.43,      6.50,      6.46,      6.44,      6.34,      6.28,      7.92,,,,      6.73
,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,      7.33,      6.36,      5.95,      6.15,      5.88,      6.09,      6.10,      5.98,      6.47,      7.17,      7.50,      7.70,      8.18,      8.80,      8.75,      8.88,      8.32,      8.04,      7.38,      6.82,      6.66,      7.36,      7.44,,,      6.91,      7.22,      7.93
,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,      6.02,      5.33,,,,      5.14,      5.50,      5.06,,      5.34,      5.40,      5.68,      6.12,      6.97,      7.78,      8.07,      7.65,      7.99,      7.91,      7.19,      7.18,      7.44,      8.03,      6.89,      6.78,      6.72,      7.34,
,World,All Products,Trade Indicator,Country Growth (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,All Products,Tariff,Duty Free Tariff Lines Share (%),     58.88,     52.96,     53.95,     54.31,     56.98,     56.28,     54.05,     49.49,     47.26,     57.07,     44.43,     52.20,     54.81,     34.91,     35.32,     48.01,     43.36,     46.43,     29.27,     32.21,     29.24,     12.04,     30.94,     10.86,      7.93,     25.94,     20.57,     60.11
,World,Animal,Export,Export Product share(%),      2.38,      2.46,      2.39,      2.28,      2.30,      2.29,      2.39,      2.01,      2.00,      1.98,      2.10,      2.12,      2.17,      2.14,      2.22,      2.19,      2.47,      2.49,      2.59,      2.76,      2.98,      3.19,      3.60,      3.91,      2.86,      2.62,      2.77,      2.07
,World,Capital goods,Export,Export Product share(%),     27.71,     26.58,     25.73,     25.77,     26.44,     26.71,     26.89,     27.31,     28.60,     29.53,     29.54,     29.97,     30.17,     30.98,     31.85,     32.02,     32.85,     33.73,     32.00,     31.31,     31.71,     31.27,     30.66,     30.41,     32.63,     32.26,     31.70,     33.60
,World,Chemicals,Export,Export Product share(%),     13.13,     12.42,     12.14,     12.19,     12.19,     12.74,     13.32,     11.37,     11.46,     11.52,     11.87,     11.85,     12.09,     11.98,     10.94,     10.17,     10.78,     10.24,      9.93,      9.73,      9.88,     10.07,     10.32,      9.88,      9.73,      9.57,      9.83,     10.85
,World,Consumer goods,Export,Export Product share(%),     37.35,     37.40,     36.60,     35.94,     35.74,     35.23,     36.07,     34.56,     34.50,     34.64,     35.00,     34.55,     35.34,     34.98,     33.72,     32.66,     34.28,     33.77,     33.91,     33.89,     33.21,     34.52,     33.33,     34.61,     32.79,     33.01,     31.92,     30.38
