Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,     32.41,     31.91,     30.66,     31.33,     30.48,     30.64,     31.66,     31.08,     32.55,     34.21,     36.76,     38.97,     43.49,     45.88,     46.23,     48.77,     49.43,     46.94,     45.56,     44.65,     43.09,     44.40,     48.27,     52.76,     43.66,     42.88,     20.08,
,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,,,      5.84,      6.98,      7.33,      6.66,      7.73,      3.87,,      2.84,      3.63,      2.85,,      2.74,      2.40,,,,,,,,,,,,,
,World,All Products,Trade Indicator,Country Growth (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,All Products,Tariff,Duty Free Tariff Lines Share (%),     38.87,     48.13,     37.11,     39.26,     37.53,     36.59,     39.04,     35.68,     33.95,     29.96,     24.10,     24.08,     12.44,     12.94,     11.80,     10.61,      7.48,      9.24,      7.91,      6.51,     11.60,      9.24,      7.45,      9.64,     11.94,     10.82,      1.67,
,World,Animal,Export,Export Product share(%),      4.33,      4.47,      3.68,      3.38,      3.33,      3.42,      3.88,      3.53,      3.60,      3.25,      3.49,      3.51,      3.28,      3.00,      2.97,      2.70,      3.18,      3.45,      3.38,      3.39,      3.73,      3.77,      3.87,      3.07,      3.63,      2.82,      2.05,
,World,Capital goods,Export,Export Product share(%),     26.60,     23.22,     20.37,     19.06,     17.71,     18.98,     18.36,     18.24,     20.41,     20.36,     21.42,     22.96,     24.08,     25.21,     25.57,     25.00,     25.01,     22.64,     19.08,     17.33,     16.62,     17.00,     18.66,     18.07,     12.01,     12.91,     15.39,
,World,Chemicals,Export,Export Product share(%),      4.04,      3.90,      3.63,      3.76,      4.20,      4.49,      4.68,      4.35,      4.34,      4.00,      4.14,      4.34,      4.31,      4.29,      4.39,      4.22,      4.54,      4.77,      4.52,      4.53,      4.77,      4.50,      4.74,      4.75,      5.85,      5.04,      4.55,
,World,Consumer goods,Export,Export Product share(%),     21.60,     20.66,     20.18,     20.58,     18.26,     21.95,     23.98,     23.50,     23.84,     22.78,     25.90,     25.96,     25.79,     27.41,     29.02,     28.82,     29.11,     29.56,     27.34,     26.55,     25.91,     26.26,     27.82,     26.50,     22.56,     20.64,     21.72,
,World,Food Products,Export,Export Product share(%),      7.79,      7.59,      7.22,      6.94,      6.91,      7.23,      8.21,      6.35,      6.60,      6.04,      6.05,      6.35,      6.80,      6.79,      6.69,      5.70,      6.73,      7.42,      7.91,      8.42,      7.91,      7.93,      8.74,      8.21,      8.64,      9.90,     14.88,
,World,Footwear,Export,Export Product share(%),      0.32,      0.31,      0.26,      0.26,      0.37,      0.42,      0.47,      0.47,      0.56,      0.54,      0.51,      0.58,      0.64,      0.66,      0.67,      0.64,      0.69,      0.79,      0.88,      0.93,      0.97,      1.23,      1.95,      1.76,      1.88,      1.95,      3.71,
