Reporter,Partner,Product categories,Indicator Type,Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,World,Transportation,Export,Export(US$ Mil),         219846.17,         228512.94,         221182.56,         223014.82,         196696.23,         171155.37,         130362.73,         251548.97,         264407.63,         239891.55,         211157.51,         189239.95,         172136.97,         171835.14,         169789.28,         172110.84,         177265.46,         168959.80,         155737.00,         137713.80,         127442.52,         125722.27,         114913.29,         111896.94,         103073.21,          30746.20,          29819.47,
,World,Vegetable,Export,Export(US$ Mil),          92275.17,         104297.30,          99043.13,         101631.24,          97633.46,          82581.84,          73022.76,          88612.11,          65085.46,          47870.41,          41350.60,          42321.27,          38209.03,          33662.10,          32587.41,          32333.68,          32061.47,          34325.84,          38587.42,          42661.14,          38515.33,          30399.59,          28630.37,          30081.73,          27352.55,           5280.26,           4657.81,
,World,Wood,Export,Export(US$ Mil),          66556.45,          70902.42,          70068.73,          66689.20,          68440.87,          63799.15,          53126.81,          66413.05,          67271.25,          66632.58,          65309.27,          62676.09,          54474.19,          52687.44,          54898.89,          60463.62,          55576.05,          52186.92,          55353.16,          54778.85,          58612.38,          47102.65,          42274.27,          40469.44,          38283.74,          19430.08,          19744.64,
,World,All Products,Export,Exports (in US$ Mil),        1912683.04,        2093357.93,        2034207.23,        1999040.61,        1932112.21,        1664679.09,        1371888.91,        1755531.06,        1582419.75,        1425207.92,        1264891.93,        1135066.76,         995838.33,         945806.67,         992064.87,        1057751.76,         931561.82,         895040.95,         903569.88,         825046.70,         774145.34,         678656.93,         609388.81,         581792.23,         548339.26,         126899.39,         115978.24,
,World,Capital goods,Import,Import(US$ Mil),         939892.37,         926993.89,         864191.42,         849756.54,         807870.95,         708677.19,         573517.94,         703443.04,         710630.03,         676748.30,         624920.82,         566953.08,         489203.15,         466894.51,         472989.46,         539651.41,         468244.36,         417650.08,         396912.67,         358563.38,         349249.32,         300743.74,         254244.01,         225906.99,         204481.00,          47924.82,          47967.29,
,World,Consumer goods,Import,Import(US$ Mil),         982736.25,         987692.85,         930859.80,         904790.61,         890919.18,         808539.96,         669433.85,         859212.02,         845363.98,         798887.23,         737071.57,         654192.87,         586280.45,         534414.24,         510187.45,         511224.48,         443792.30,         396003.19,         368218.52,         328385.25,         307922.50,         288973.25,         260282.48,         240896.50,         223328.82,          34665.91,          34063.36,
,World,Intermediate goods,Import,Import(US$ Mil),         428351.22,         455254.96,         420848.64,         424977.74,         435337.88,         364009.99,         288933.39,         408925.18,         374320.13,         363928.01,         319751.97,         283899.42,         229197.19,         213922.73,         214407.06,         226941.21,         197166.88,         188686.90,         176527.17,         159628.06,         152173.67,         133422.17,         113908.01,         105030.72,          99523.17,          19231.39,          18781.86,
,World,Raw materials,Import,Import(US$ Mil),         250761.16,         386149.25,         398672.65,         445410.44,         473383.82,         374444.79,         290733.73,         482933.37,         354073.36,         324804.67,         271602.72,         212233.36,         166525.99,         136625.22,         133309.68,         149738.10,         102077.85,          88688.32,         106990.87,          98774.20,          88865.35,          79599.21,          76317.31,          75473.37,          74028.34,          11056.56,           9671.47,
,World,All Products,Import,Imports (in US$ Mil),        2726902.99,        2874800.74,        2728690.91,        2737694.96,        2715079.34,        2361338.23,        1924151.47,        2574742.98,        2398900.55,        2270325.22,        2047752.73,        1799142.21,        1545467.88,        1424724.55,        1401697.23,        1498168.52,        1274774.98,        1145722.65,        1095623.51,         988232.70,         935825.74,         837215.35,         734484.65,         675936.65,         627037.72,         116508.71,         113908.35,
,...,...,Development,"GNI per capita, Atlas method (current US$)",  55117.08,  54967.93,  53530.92,  52366.04,  50127.51,  48509.66,  47574.99,  48903.13,  47941.25,  47077.67,  45147.15,  42286.10,  38522.28,  36102.53,  35487.71,  34759.13,  32557.63,  31036.40,  30388.42,  29429.59,  28318.87,  27062.43,  25949.71,  25329.88,  24015.34,  23793.13,  23450.55,  23080.02
